date,State budget balance,Revenues
2024-08-01,22419878.0,6548598.0
2024-08-02,19916396.0,6146457.0
2024-08-03,18205016.0,7990547.0
2024-08-04,18663130.0,7854069.0
2024-08-05,22106215.0,7219212.0
2024-08-06,24242546.0,7684090.0
2024-08-07,23863795.0,7625717.0
2024-08-08,23844352.0,7727087.0
2024-08-09,20782821.0,7207194.0
2024-08-10,18959066.0,7354766.0
2024-08-11,19111150.0,7561845.0
2024-08-12,21787697.0,7311540.0
2024-08-13,23476895.0,7396284.0
2024-08-14,23235060.0,6829530.0
2024-08-15,21533415.0,7266541.0
2024-08-16,18710729.0,6100612.0
2024-08-17,16483106.0,6154497.0
2024-08-18,17386042.0,5281069.0
2024-08-19,19828728.0,5286527.0
2024-08-20,20965274.0,5902945.0
2024-08-21,20682856.0,5105570.0
2024-08-22,18621255.0,5478645.0
2024-08-23,17260909.0,5281867.0
2024-08-24,14278837.0,5018718.0
2024-08-25,14883224.0,5308683.0
2024-08-26,17920206.0,5385923.0
2024-08-27,19817792.0,5561608.0
2024-08-28,20259490.0,6135025.0
2024-08-29,19450548.0,6330766.0
2024-08-30,17297997.0,6203387.0
2024-08-31,15344746.0,6351254.0
2024-09-01,17109252.0,6830164.0
2024-09-02,19224140.0,6950540.0
2024-09-03,21217182.0,7503790.0
2024-09-04,22475359.0,8177251.0
2024-09-05,21348907.0,7781655.0
2024-09-06,18598125.0,7622968.0
2024-09-07,16834116.0,7638454.0
2024-09-08,17720147.0,7439413.0
2024-09-09,20320512.0,7380178.0
2024-09-10,22008586.0,7258190.0
2024-09-11,22920014.0,7302856.0
2024-09-12,20156106.0,7116588.0
2024-09-13,18115551.0,7259632.0
2024-09-14,15316834.0,6685906.0
2024-09-15,16071641.0,6502540.0
2024-09-16,17266897.0,5949849.0
2024-09-17,19381212.0,6570070.0
2024-09-18,19474352.0,6008060.0
2024-09-19,18742380.0,6199129.0
2024-09-20,16518812.0,5743453.0
2024-09-21,14109468.0,5835302.0
2024-09-22,13145217.0,5244896.0
2024-09-23,17231344.0,5515546.0
2024-09-24,18655373.0,6143735.0
2024-09-25,19182126.0,5046097.0
2024-09-26,18605868.0,5893074.0
2024-09-27,16224554.0,6217201.0
2024-09-28,13837350.0,6035281.0
2024-09-29,15299868.0,6364626.0
2024-09-30,18163696.0,6760505.0
2024-10-01,20901219.0,6544374.0
2024-10-02,22196849.0,7105768.0
2024-10-03,21003733.0,6928904.0
2024-10-04,19680143.0,7173288.0
2024-10-05,16668469.0,7339309.0
2024-10-06,16832462.0,7589507.0
2024-10-07,20426869.0,7735000.0
2024-10-08,22027552.0,7835331.0
2024-10-09,22163180.0,7216907.0
2024-10-10,21572667.0,8167247.0
2024-10-11,18478331.0,7776515.0
2024-10-12,15141167.0,7467800.0
2024-10-13,16480137.0,6926553.0
2024-10-14,18947537.0,6778213.0
2024-10-15,20779210.0,6730124.0
2024-10-16,20707620.0,6441763.0
2024-10-17,19228862.0,5560379.0
2024-10-18,16507953.0,6083748.0
2024-10-19,14602148.0,6558941.0
2024-10-20,14394927.0,4936401.0
2024-10-21,17133958.0,5694315.0
2024-10-22,18971324.0,5432993.0
2024-10-23,18546938.0,5266073.0
2024-10-24,17845795.0,5754187.0
2024-10-25,15663908.0,5049078.0
2024-10-26,13664200.0,5590321.0
2024-10-27,13603287.0,6158404.0
2024-10-28,18414714.0,5848313.0
2024-10-29,20046407.0,6006283.0
2024-10-30,20276236.0,6412008.0
2024-10-31,19230921.0,6486359.0
2024-11-01,17919435.0,7222213.0
2024-11-02,16128118.0,6700990.0
2024-11-03,16629949.0,7464385.0
2024-11-04,20342404.0,6994657.0
2024-11-05,21904449.0,7735049.0
2024-11-06,23117039.0,7601047.0
2024-11-07,21059151.0,6893519.0
2024-11-08,18969106.0,7694578.0
2024-11-09,16913324.0,7323145.0
2024-11-10,17810093.0,7422180.0
2024-11-11,18995409.0,7895922.0
2024-11-12,21210289.0,6900157.0
2024-11-13,21059419.0,6709527.0
2024-11-14,20045595.0,7249870.0
2024-11-15,16760479.0,6597534.0
2024-11-16,14369874.0,6790751.0
2024-11-17,14651770.0,6176480.0
2024-11-18,16837033.0,5583845.0
2024-11-19,18545185.0,5642017.0
2024-11-20,19071448.0,5883626.0
2024-11-21,16702422.0,5678663.0
2024-11-22,14798391.0,5319716.0
2024-11-23,12841564.0,5315441.0
2024-11-24,13436374.0,5297373.0
2024-11-25,16425660.0,5234757.0
2024-11-26,17640642.0,6135957.0
2024-11-27,19100623.0,5710035.0
2024-11-28,18702644.0,5560070.0
2024-11-29,16864314.0,5987937.0
2024-11-30,14447996.0,6600661.0
2024-12-01,15081842.0,6943330.0
2024-12-02,18774585.0,6938245.0
2024-12-03,20247531.0,6989128.0
2024-12-04,20781408.0,7388037.0
2024-12-05,19529682.0,7012571.0
2024-12-06,18752151.0,7231854.0
2024-12-07,15606616.0,7936487.0
2024-12-08,16623236.0,7548590.0
2024-12-09,18660628.0,7767825.0
2024-12-10,21160083.0,7934992.0
